input_value,input_matched_alias,entity_id,pathway_id,pathway_description,pathway_source_system,pathway_data_source,pathway_etl_package_id,entity_relationships_by_group,total_entity_relationships,other_aliases,status,note
R-HSA-1442490,R-HSA-1442490,126344,R-HSA-1442490,Collagen degradation,Reactome,reactome,,,,['Collagen degradation'],ok,
R-HSA-1474290,R-HSA-1474290,126345,R-HSA-1474290,Collagen formation,Reactome,reactome,,,,['Collagen formation'],ok,
R-HSA-140875,R-HSA-140875,126346,R-HSA-140875,Common Pathway of Fibrin Clot Formation,Reactome,reactome,,,,['Common Pathway of Fibrin Clot Formation'],ok,
R-HSA-8948700,R-HSA-8948700,126347,R-HSA-8948700,Competing endogenous RNAs (ceRNAs) regulate PTEN translation,Reactome,reactome,,,,['Competing endogenous RNAs (ceRNAs) regulate PTEN translation'],ok,
R-HSA-166658,R-HSA-166658,126348,R-HSA-166658,Complement cascade,Reactome,reactome,,,,['Complement cascade'],ok,
R-HSA-6799198,R-HSA-6799198,126349,R-HSA-6799198,Complex I biogenesis,Reactome,reactome,,,,['Complex I biogenesis'],ok,
R-HSA-9865881,R-HSA-9865881,126350,R-HSA-9865881,Complex III assembly,Reactome,reactome,,,,['Complex III assembly'],ok,
R-HSA-9864848,R-HSA-9864848,126351,R-HSA-9864848,Complex IV assembly,Reactome,reactome,,,,['Complex IV assembly'],ok,
R-HSA-2514853,R-HSA-2514853,126352,R-HSA-2514853,Condensation of Prometaphase Chromosomes,Reactome,reactome,,,,['Condensation of Prometaphase Chromosomes'],ok,
R-HSA-2299718,R-HSA-2299718,126353,R-HSA-2299718,Condensation of Prophase Chromosomes,Reactome,reactome,,,,['Condensation of Prophase Chromosomes'],ok,
R-HSA-177135,R-HSA-177135,126354,R-HSA-177135,Conjugation of benzoate with glycine,Reactome,reactome,,,,['Conjugation of benzoate with glycine'],ok,
R-HSA-159424,R-HSA-159424,126355,R-HSA-159424,Conjugation of carboxylic acids,Reactome,reactome,,,,['Conjugation of carboxylic acids'],ok,
R-HSA-177162,R-HSA-177162,126356,R-HSA-177162,Conjugation of phenylacetate with glutamine,Reactome,reactome,,,,['Conjugation of phenylacetate with glutamine'],ok,
R-HSA-177128,R-HSA-177128,126357,R-HSA-177128,Conjugation of salicylate with glycine,Reactome,reactome,,,,['Conjugation of salicylate with glycine'],ok,
R-HSA-5674400,R-HSA-5674400,126358,R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,Reactome,reactome,,,,['Constitutive Signaling by AKT1 E17K in Cancer'],ok,
R-HSA-2219530,R-HSA-2219530,126359,R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,Reactome,reactome,,,,['Constitutive Signaling by Aberrant PI3K in Cancer'],ok,
R-HSA-5637810,R-HSA-5637810,126360,R-HSA-5637810,Constitutive Signaling by EGFRvIII,Reactome,reactome,,,,['Constitutive Signaling by EGFRvIII'],ok,
R-HSA-1236382,R-HSA-1236382,126361,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,Reactome,reactome,,,,['Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants'],ok,
R-HSA-2691232,R-HSA-2691232,126362,R-HSA-2691232,Constitutive Signaling by NOTCH1 HD Domain Mutants,Reactome,reactome,,,,['Constitutive Signaling by NOTCH1 HD Domain Mutants'],ok,
R-HSA-2894862,R-HSA-2894862,126363,R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,Reactome,reactome,,,,['Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants'],ok,
R-HSA-2644606,R-HSA-2644606,126364,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,Reactome,reactome,,,,['Constitutive Signaling by NOTCH1 PEST Domain Mutants'],ok,
R-HSA-2660826,R-HSA-2660826,126365,R-HSA-2660826,Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant,Reactome,reactome,,,,['Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant'],ok,
R-HSA-9634285,R-HSA-9634285,126366,R-HSA-9634285,Constitutive Signaling by Overexpressed ERBB2,Reactome,reactome,,,,['Constitutive Signaling by Overexpressed ERBB2'],ok,
R-HSA-176407,R-HSA-176407,126367,R-HSA-176407,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,Reactome,reactome,,,,['Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase'],ok,
R-HSA-6814122,R-HSA-6814122,126368,R-HSA-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,Reactome,reactome,,,,['Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding'],ok,
R-HSA-389958,R-HSA-389958,126369,R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,Reactome,reactome,,,,['Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding'],ok,
R-HSA-71288,R-HSA-71288,126370,R-HSA-71288,Creatine metabolism,Reactome,reactome,,,,['Creatine metabolism'],ok,
R-HSA-166786,R-HSA-166786,126371,R-HSA-166786,Creation of C4 and C2 activators,Reactome,reactome,,,,['Creation of C4 and C2 activators'],ok,
R-HSA-8949613,R-HSA-8949613,126372,R-HSA-8949613,Cristae formation,Reactome,reactome,,,,['Cristae formation'],ok,
R-HSA-1236973,R-HSA-1236973,126373,R-HSA-1236973,Cross-presentation of particulate exogenous antigens (phagosomes),Reactome,reactome,,,,['Cross-presentation of particulate exogenous antigens (phagosomes)'],ok,
R-HSA-1236978,R-HSA-1236978,126374,R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),Reactome,reactome,,,,['Cross-presentation of soluble exogenous antigens (endosomes)'],ok,
R-HSA-2243919,R-HSA-2243919,126375,R-HSA-2243919,Crosslinking of collagen fibrils,Reactome,reactome,,,,['Crosslinking of collagen fibrils'],ok,
R-HSA-69273,R-HSA-69273,126376,R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,Reactome,reactome,,,,['Cyclin A/B1/B2 associated events during G2/M transition'],ok,
R-HSA-69656,R-HSA-69656,126377,R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,Reactome,reactome,,,,['Cyclin A:Cdk2-associated events at S phase entry'],ok,
R-HSA-69231,R-HSA-69231,126378,R-HSA-69231,Cyclin D associated events in G1,Reactome,reactome,,,,['Cyclin D associated events in G1'],ok,
R-HSA-69202,R-HSA-69202,126379,R-HSA-69202,Cyclin E associated events during G1/S transition ,Reactome,reactome,,,,['Cyclin E associated events during G1/S transition'],ok,
R-HSA-1614603,R-HSA-1614603,126380,R-HSA-1614603,Cysteine formation from homocysteine,Reactome,reactome,,,,['Cysteine formation from homocysteine'],ok,
R-HSA-211897,R-HSA-211897,126381,R-HSA-211897,Cytochrome P450 - arranged by substrate type,Reactome,reactome,,,,['Cytochrome P450 - arranged by substrate type'],ok,
R-HSA-111461,R-HSA-111461,126382,R-HSA-111461,Cytochrome c-mediated apoptotic response,Reactome,reactome,,,,['Cytochrome c-mediated apoptotic response'],ok,
R-HSA-1280215,R-HSA-1280215,126383,R-HSA-1280215,Cytokine Signaling in Immune system,Reactome,reactome,,,,['Cytokine Signaling in Immune system'],ok,
R-HSA-9707564,R-HSA-9707564,126384,R-HSA-9707564,Cytoprotection by HMOX1,Reactome,reactome,,,,['Cytoprotection by HMOX1'],ok,
R-HSA-2564830,R-HSA-2564830,126385,R-HSA-2564830,Cytosolic iron-sulfur cluster assembly,Reactome,reactome,,,,['Cytosolic iron-sulfur cluster assembly'],ok,
R-HSA-1834949,R-HSA-1834949,126386,R-HSA-1834949,Cytosolic sensors of pathogen-associated DNA ,Reactome,reactome,,,,['Cytosolic sensors of pathogen-associated DNA'],ok,
R-HSA-156584,R-HSA-156584,126387,R-HSA-156584,Cytosolic sulfonation of small molecules,Reactome,reactome,,,,['Cytosolic sulfonation of small molecules'],ok,
R-HSA-379716,R-HSA-379716,126388,R-HSA-379716,Cytosolic tRNA aminoacylation,Reactome,reactome,,,,['Cytosolic tRNA aminoacylation'],ok,
R-HSA-1489509,R-HSA-1489509,126389,R-HSA-1489509,DAG and IP3 signaling,Reactome,reactome,,,,['DAG and IP3 signaling'],ok,
R-HSA-8932506,R-HSA-8932506,126390,R-HSA-8932506,DAG1 core M1 glycosylations,Reactome,reactome,,,,['DAG1 core M1 glycosylations'],ok,
R-HSA-8932504,R-HSA-8932504,126391,R-HSA-8932504,DAG1 core M2 glycosylations,Reactome,reactome,,,,['DAG1 core M2 glycosylations'],ok,
R-HSA-8932505,R-HSA-8932505,126392,R-HSA-8932505,DAG1 core M3 glycosylations,Reactome,reactome,,,,['DAG1 core M3 glycosylations'],ok,
R-HSA-8931838,R-HSA-8931838,126393,R-HSA-8931838,DAG1 glycosylations,Reactome,reactome,,,,['DAG1 glycosylations'],ok,
R-HSA-2172127,R-HSA-2172127,126394,R-HSA-2172127,DAP12 interactions,Reactome,reactome,,,,['DAP12 interactions'],ok,
R-HSA-2424491,R-HSA-2424491,126395,R-HSA-2424491,DAP12 signaling,Reactome,reactome,,,,['DAP12 signaling'],ok,
R-HSA-180024,R-HSA-180024,126396,R-HSA-180024,DARPP-32 events,Reactome,reactome,,,,['DARPP-32 events'],ok,
R-HSA-418885,R-HSA-418885,126397,R-HSA-418885,DCC mediated attractive signaling,Reactome,reactome,,,,['DCC mediated attractive signaling'],ok,
R-HSA-168928,R-HSA-168928,126398,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,Reactome,reactome,,,,['DDX58/IFIH1-mediated induction of interferon-alpha/beta'],ok,
R-HSA-3134963,R-HSA-3134963,126399,R-HSA-3134963,DEx/H-box helicases activate type I IFN and inflammatory cytokines production ,Reactome,reactome,,,,['DEx/H-box helicases activate type I IFN and inflammatory cytokines production'],ok,
R-HSA-73893,R-HSA-73893,126400,R-HSA-73893,DNA Damage Bypass,Reactome,reactome,,,,['DNA Damage Bypass'],ok,
R-HSA-5696394,R-HSA-5696394,126401,R-HSA-5696394,DNA Damage Recognition in GG-NER,Reactome,reactome,,,,['DNA Damage Recognition in GG-NER'],ok,
R-HSA-73942,R-HSA-73942,126402,R-HSA-73942,DNA Damage Reversal,Reactome,reactome,,,,['DNA Damage Reversal'],ok,
R-HSA-2559586,R-HSA-2559586,126403,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,Reactome,reactome,,,,['DNA Damage/Telomere Stress Induced Senescence'],ok,
R-HSA-5693606,R-HSA-5693606,126404,R-HSA-5693606,DNA Double Strand Break Response,Reactome,reactome,,,,['DNA Double Strand Break Response'],ok,
R-HSA-5693532,R-HSA-5693532,126405,R-HSA-5693532,DNA Double-Strand Break Repair,Reactome,reactome,,,,['DNA Double-Strand Break Repair'],ok,
R-HSA-73894,R-HSA-73894,126406,R-HSA-73894,DNA Repair,Reactome,reactome,,,,['DNA Repair'],ok,
R-HSA-69306,R-HSA-69306,126407,R-HSA-69306,DNA Replication,Reactome,reactome,,,,['DNA Replication'],ok,
R-HSA-69002,R-HSA-69002,126408,R-HSA-69002,DNA Replication Pre-Initiation,Reactome,reactome,,,,['DNA Replication Pre-Initiation'],ok,
R-HSA-5334118,R-HSA-5334118,126409,R-HSA-5334118,DNA methylation,Reactome,reactome,,,,['DNA methylation'],ok,
R-HSA-68952,R-HSA-68952,126410,R-HSA-68952,DNA replication initiation,Reactome,reactome,,,,['DNA replication initiation'],ok,
R-HSA-69190,R-HSA-69190,126411,R-HSA-69190,DNA strand elongation,Reactome,reactome,,,,['DNA strand elongation'],ok,
R-HSA-2022923,R-HSA-2022923,126412,R-HSA-2022923,DS-GAG biosynthesis,Reactome,reactome,,,,['DS-GAG biosynthesis'],ok,
R-HSA-376172,R-HSA-376172,126413,R-HSA-376172,DSCAM interactions,Reactome,reactome,,,,['DSCAM interactions'],ok,
R-HSA-9669914,R-HSA-9669914,126414,R-HSA-9669914,Dasatinib-resistant KIT mutants,Reactome,reactome,,,,['Dasatinib-resistant KIT mutants'],ok,
R-HSA-3769402,R-HSA-3769402,126415,R-HSA-3769402,Deactivation of the beta-catenin transactivating complex,Reactome,reactome,,,,['Deactivation of the beta-catenin transactivating complex'],ok,
R-HSA-429947,R-HSA-429947,126416,R-HSA-429947,Deadenylation of mRNA,Reactome,reactome,,,,['Deadenylation of mRNA'],ok,
R-HSA-429914,R-HSA-429914,126417,R-HSA-429914,Deadenylation-dependent mRNA decay,Reactome,reactome,,,,['Deadenylation-dependent mRNA decay'],ok,
R-HSA-73887,R-HSA-73887,126418,R-HSA-73887,Death Receptor Signaling,Reactome,reactome,,,,['Death Receptor Signaling'],ok,
R-HSA-5607761,R-HSA-5607761,126419,R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,Reactome,reactome,,,,['Dectin-1 mediated noncanonical NF-kB signaling'],ok,
R-HSA-5621480,R-HSA-5621480,126420,R-HSA-5621480,Dectin-2 family,Reactome,reactome,,,,['Dectin-2 family'],ok,
R-HSA-5682113,R-HSA-5682113,126421,R-HSA-5682113,Defective ABCA1 causes TGD,Reactome,reactome,,,,['Defective ABCA1 causes TGD'],ok,
R-HSA-5682294,R-HSA-5682294,126422,R-HSA-5682294,Defective ABCA12 causes ARCI4B,Reactome,reactome,,,,['Defective ABCA12 causes ARCI4B'],ok,
R-HSA-5688399,R-HSA-5688399,126423,R-HSA-5688399,Defective ABCA3 causes SMDP3,Reactome,reactome,,,,['Defective ABCA3 causes SMDP3'],ok,
R-HSA-5683678,R-HSA-5683678,126424,R-HSA-5683678,Defective ABCA3 causes SMDP3,Reactome,reactome,,,,['Defective ABCA3 causes SMDP3'],ok,
R-HSA-5678520,R-HSA-5678520,126425,R-HSA-5678520,Defective ABCB11 causes PFIC2 and BRIC2,Reactome,reactome,,,,['Defective ABCB11 causes PFIC2 and BRIC2'],ok,
R-HSA-5678771,R-HSA-5678771,126426,R-HSA-5678771,"Defective ABCB4 causes PFIC3, ICP3 and GBD1",Reactome,reactome,,,,"['Defective ABCB4 causes PFIC3, ICP3 and GBD1']",ok,
R-HSA-5683371,R-HSA-5683371,126427,R-HSA-5683371,Defective ABCB6 causes MCOPCB7,Reactome,reactome,,,,['Defective ABCB6 causes MCOPCB7'],ok,
R-HSA-5679001,R-HSA-5679001,126428,R-HSA-5679001,Defective ABCC2 causes DJS,Reactome,reactome,,,,['Defective ABCC2 causes DJS'],ok,
R-HSA-5690338,R-HSA-5690338,126429,R-HSA-5690338,Defective ABCC6 causes PXE,Reactome,reactome,,,,['Defective ABCC6 causes PXE'],ok,
R-HSA-5683177,R-HSA-5683177,126430,R-HSA-5683177,Defective ABCC8 can cause hypo- and hyper-glycemias,Reactome,reactome,,,,['Defective ABCC8 can cause hypo- and hyper-glycemias'],ok,
R-HSA-5678420,R-HSA-5678420,126431,R-HSA-5678420,"Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome",Reactome,reactome,,,,"['Defective ABCC9 causes CMD10, ATFB12 and Cantu syndrome']",ok,
R-HSA-5684045,R-HSA-5684045,126432,R-HSA-5684045,Defective ABCD1 causes ALD,Reactome,reactome,,,,['Defective ABCD1 causes ALD'],ok,
R-HSA-5683329,R-HSA-5683329,126433,R-HSA-5683329,Defective ABCD4 causes MAHCJ,Reactome,reactome,,,,['Defective ABCD4 causes MAHCJ'],ok,
R-HSA-5679096,R-HSA-5679096,126434,R-HSA-5679096,Defective ABCG5 causes sitosterolemia,Reactome,reactome,,,,['Defective ABCG5 causes sitosterolemia'],ok,
R-HSA-5679090,R-HSA-5679090,126435,R-HSA-5679090,Defective ABCG8 causes GBD4 and sitosterolemia,Reactome,reactome,,,,['Defective ABCG8 causes GBD4 and sitosterolemia'],ok,
R-HSA-5579031,R-HSA-5579031,126436,R-HSA-5579031,Defective ACTH causes obesity and POMCD,Reactome,reactome,,,,['Defective ACTH causes obesity and POMCD'],ok,
R-HSA-5579007,R-HSA-5579007,126437,R-HSA-5579007,Defective ACY1 causes encephalopathy,Reactome,reactome,,,,['Defective ACY1 causes encephalopathy'],ok,
R-HSA-9734735,R-HSA-9734735,126438,R-HSA-9734735,Defective ADA disrupts (deoxy)adenosine deamination,Reactome,reactome,,,,['Defective ADA disrupts (deoxy)adenosine deamination'],ok,
R-HSA-5578997,R-HSA-5578997,126439,R-HSA-5578997,Defective AHCY causes HMAHCHD,Reactome,reactome,,,,['Defective AHCY causes HMAHCHD'],ok,
R-HSA-4549380,R-HSA-4549380,126440,R-HSA-4549380,Defective ALG1 causes CDG-1k,Reactome,reactome,,,,['Defective ALG1 causes CDG-1k'],ok,
R-HSA-4551295,R-HSA-4551295,126441,R-HSA-4551295,Defective ALG11 causes CDG-1p,Reactome,reactome,,,,['Defective ALG11 causes CDG-1p'],ok,
R-HSA-4720489,R-HSA-4720489,126442,R-HSA-4720489,Defective ALG12 causes CDG-1g,Reactome,reactome,,,,['Defective ALG12 causes CDG-1g'],ok,
R-HSA-5633231,R-HSA-5633231,126443,R-HSA-5633231,Defective ALG14 causes ALG14-CMS,Reactome,reactome,,,,['Defective ALG14 causes ALG14-CMS'],ok,
R-HSA-4549349,R-HSA-4549349,126444,R-HSA-4549349,Defective ALG2 causes CDG-1i,Reactome,reactome,,,,['Defective ALG2 causes CDG-1i'],ok,
R-HSA-4720475,R-HSA-4720475,126445,R-HSA-4720475,Defective ALG3 causes CDG-1d,Reactome,reactome,,,,['Defective ALG3 causes CDG-1d'],ok,
R-HSA-4724289,R-HSA-4724289,126446,R-HSA-4724289,Defective ALG6 causes CDG-1c,Reactome,reactome,,,,['Defective ALG6 causes CDG-1c'],ok,
R-HSA-4724325,R-HSA-4724325,126447,R-HSA-4724325,Defective ALG8 causes CDG-1h,Reactome,reactome,,,,['Defective ALG8 causes CDG-1h'],ok,
R-HSA-4720454,R-HSA-4720454,126448,R-HSA-4720454,Defective ALG9 causes CDG-1l,Reactome,reactome,,,,['Defective ALG9 causes CDG-1l'],ok,
R-HSA-3359462,R-HSA-3359462,126449,R-HSA-3359462,Defective AMN causes MGA1,Reactome,reactome,,,,['Defective AMN causes MGA1'],ok,
R-HSA-9734195,R-HSA-9734195,126450,R-HSA-9734195,Defective APRT disrupts adenine salvage,Reactome,reactome,,,,['Defective APRT disrupts adenine salvage'],ok,
R-HSA-5619099,R-HSA-5619099,126451,R-HSA-5619099,"Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)",Reactome,reactome,,,,"['Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)']",ok,
R-HSA-9036092,R-HSA-9036092,126452,R-HSA-9036092,Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI),Reactome,reactome,,,,['Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI)'],ok,
R-HSA-4420332,R-HSA-4420332,126453,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,Reactome,reactome,,,,['Defective B3GALT6 causes EDSP2 and SEMDJL1'],ok,
R-HSA-5083635,R-HSA-5083635,126454,R-HSA-5083635,Defective B3GALTL causes PpS,Reactome,reactome,,,,['Defective B3GALTL causes PpS'],ok,
R-HSA-3560801,R-HSA-3560801,126455,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,Reactome,reactome,,,,['Defective B3GAT3 causes JDSSDHD'],ok,
R-HSA-3656244,R-HSA-3656244,126456,R-HSA-3656244,Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),Reactome,reactome,,,,['Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)'],ok,
R-HSA-4793953,R-HSA-4793953,126457,R-HSA-4793953,Defective B4GALT1 causes CDG-2d,Reactome,reactome,,,,['Defective B4GALT1 causes CDG-2d'],ok,
R-HSA-3560783,R-HSA-3560783,126458,R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",Reactome,reactome,,,,"['Defective B4GALT7 causes EDS, progeroid type']",ok,
R-HSA-3371598,R-HSA-3371598,126459,R-HSA-3371598,Defective BTD causes biotidinase deficiency,Reactome,reactome,,,,['Defective BTD causes biotidinase deficiency'],ok,
R-HSA-9605310,R-HSA-9605310,126460,R-HSA-9605310,Defective Base Excision Repair Associated with MUTYH,Reactome,reactome,,,,['Defective Base Excision Repair Associated with MUTYH'],ok,
R-HSA-9616334,R-HSA-9616334,126461,R-HSA-9616334,Defective Base Excision Repair Associated with NEIL1,Reactome,reactome,,,,['Defective Base Excision Repair Associated with NEIL1'],ok,
R-HSA-9629232,R-HSA-9629232,126462,R-HSA-9629232,Defective Base Excision Repair Associated with NEIL3,Reactome,reactome,,,,['Defective Base Excision Repair Associated with NEIL3'],ok,
R-HSA-9616333,R-HSA-9616333,126463,R-HSA-9616333,Defective Base Excision Repair Associated with NTHL1,Reactome,reactome,,,,['Defective Base Excision Repair Associated with NTHL1'],ok,
R-HSA-9656249,R-HSA-9656249,126464,R-HSA-9656249,Defective Base Excision Repair Associated with OGG1,Reactome,reactome,,,,['Defective Base Excision Repair Associated with OGG1'],ok,
R-HSA-5083632,R-HSA-5083632,126465,R-HSA-5083632,Defective C1GALT1C1 causes TNPS,Reactome,reactome,,,,['Defective C1GALT1C1 causes TNPS'],ok,
R-HSA-3359457,R-HSA-3359457,126466,R-HSA-3359457,Defective CBLIF causes IFD,Reactome,reactome,,,,['Defective CBLIF causes IFD'],ok,
R-HSA-3359485,R-HSA-3359485,126467,R-HSA-3359485,Defective CD320 causes MMATC,Reactome,reactome,,,,['Defective CD320 causes MMATC'],ok,
R-HSA-5678895,R-HSA-5678895,126468,R-HSA-5678895,Defective CFTR causes cystic fibrosis,Reactome,reactome,,,,['Defective CFTR causes cystic fibrosis'],ok,
R-HSA-3595174,R-HSA-3595174,126469,R-HSA-3595174,"Defective CHST14 causes EDS, musculocontractural type",Reactome,reactome,,,,"['Defective CHST14 causes EDS, musculocontractural type']",ok,
R-HSA-3595172,R-HSA-3595172,126470,R-HSA-3595172,Defective CHST3 causes SEDCJD,Reactome,reactome,,,,['Defective CHST3 causes SEDCJD'],ok,
R-HSA-3656225,R-HSA-3656225,126471,R-HSA-3656225,Defective CHST6 causes MCDC1,Reactome,reactome,,,,['Defective CHST6 causes MCDC1'],ok,
R-HSA-3595177,R-HSA-3595177,126472,R-HSA-3595177,Defective CHSY1 causes TPBS,Reactome,reactome,,,,['Defective CHSY1 causes TPBS'],ok,
R-HSA-5619060,R-HSA-5619060,126473,R-HSA-5619060,Defective CP causes aceruloplasminemia (ACERULOP),Reactome,reactome,,,,['Defective CP causes aceruloplasminemia (ACERULOP)'],ok,
R-HSA-5688890,R-HSA-5688890,126474,R-HSA-5688890,Defective CSF2RA causes SMDP4,Reactome,reactome,,,,['Defective CSF2RA causes SMDP4'],ok,
R-HSA-5688849,R-HSA-5688849,126475,R-HSA-5688849,Defective CSF2RB causes SMDP5,Reactome,reactome,,,,['Defective CSF2RB causes SMDP5'],ok,
R-HSA-3359463,R-HSA-3359463,126476,R-HSA-3359463,Defective CUBN causes MGA1,Reactome,reactome,,,,['Defective CUBN causes MGA1'],ok,
R-HSA-5579026,R-HSA-5579026,126477,R-HSA-5579026,Defective CYP11A1 causes AICSR,Reactome,reactome,,,,['Defective CYP11A1 causes AICSR'],ok,
R-HSA-5579017,R-HSA-5579017,126478,R-HSA-5579017,Defective CYP11B1 causes AH4,Reactome,reactome,,,,['Defective CYP11B1 causes AH4'],ok,
R-HSA-5579009,R-HSA-5579009,126479,R-HSA-5579009,Defective CYP11B2 causes CMO-1 deficiency,Reactome,reactome,,,,['Defective CYP11B2 causes CMO-1 deficiency'],ok,
R-HSA-5579028,R-HSA-5579028,126480,R-HSA-5579028,Defective CYP17A1 causes AH5,Reactome,reactome,,,,['Defective CYP17A1 causes AH5'],ok,
R-HSA-5579030,R-HSA-5579030,126481,R-HSA-5579030,Defective CYP19A1 causes AEXS,Reactome,reactome,,,,['Defective CYP19A1 causes AEXS'],ok,
R-HSA-5579000,R-HSA-5579000,126482,R-HSA-5579000,Defective CYP1B1 causes Glaucoma,Reactome,reactome,,,,['Defective CYP1B1 causes Glaucoma'],ok,
R-HSA-5579021,R-HSA-5579021,126483,R-HSA-5579021,Defective CYP21A2 causes AH3,Reactome,reactome,,,,['Defective CYP21A2 causes AH3'],ok,
R-HSA-5579010,R-HSA-5579010,126484,R-HSA-5579010,Defective CYP24A1 causes HCAI,Reactome,reactome,,,,['Defective CYP24A1 causes HCAI'],ok,
R-HSA-5579015,R-HSA-5579015,126485,R-HSA-5579015,Defective CYP26B1 causes RHFCA,Reactome,reactome,,,,['Defective CYP26B1 causes RHFCA'],ok,
R-HSA-5579004,R-HSA-5579004,126486,R-HSA-5579004,Defective CYP26C1 causes FFDD4,Reactome,reactome,,,,['Defective CYP26C1 causes FFDD4'],ok,
R-HSA-5578996,R-HSA-5578996,126487,R-HSA-5578996,Defective CYP27A1 causes CTX,Reactome,reactome,,,,['Defective CYP27A1 causes CTX'],ok,
R-HSA-5579014,R-HSA-5579014,126488,R-HSA-5579014,Defective CYP27B1 causes VDDR1A,Reactome,reactome,,,,['Defective CYP27B1 causes VDDR1A'],ok,
R-HSA-5579027,R-HSA-5579027,126489,R-HSA-5579027,Defective CYP27B1 causes VDDR1B,Reactome,reactome,,,,['Defective CYP27B1 causes VDDR1B'],ok,
